"Sample","OD","Dilution"
"CB1-GK146-D182C1",1.671,100
"CB1-GK146-D182C1",0.904,200
"CB1-GK146-D182C1",0.5065,400
"CB1-GK146-D182C1",0.287,800
"CB1-GK146-D182C1",0.17,1600
"CB1-GK146-D182C1",0.094,3200
"CB1-GK146-D182C1",0.0725,6400
"CB1-GK146-D182C1",0.06,12800
"CB1-GK146-D182C1",0.0755,25600
"CB1-GK146-D182C1",0.0645,51200
"CB1-GK146-D182C1",0.0725,102400
"CB1-GK146-D182C1",0.071,204800
"CB1-GK157-D182C1",1.1205,100
"CB1-GK157-D182C1",0.612,200
"CB1-GK157-D182C1",0.342,400
"CB1-GK157-D182C1",0.1905,800
"CB1-GK157-D182C1",0.1115,1600
"CB1-GK157-D182C1",0.066,3200
"CB1-GK157-D182C1",0.075,6400
"CB1-GK157-D182C1",0.0615,12800
"CB1-GK157-D182C1",0.072,25600
"CB1-GK157-D182C1",0.0725,51200
"CB1-GK157-D182C1",0.082,102400
"CB1-GK157-D182C1",0.0745,204800
"CB1-GK012-D182C1",3.8085,100
"CB1-GK012-D182C1",3.313,200
"CB1-GK012-D182C1",2.341,400
"CB1-GK012-D182C1",1.387,800
"CB1-GK012-D182C1",0.7655,1600
"CB1-GK012-D182C1",0.4315,3200
"CB1-GK012-D182C1",0.2385,6400
"CB1-GK012-D182C1",0.1205,12800
"CB1-GK012-D182C1",0.0605,25600
"CB1-GK012-D182C1",0.0585,51200
"CB1-GK012-D182C1",0.065,102400
"CB1-GK012-D182C1",0.0665,204800
"CB1-GK017-D28C1",4.1595,100
"CB1-GK017-D28C1",4.0875,200
"CB1-GK017-D28C1",3.8375,400
"CB1-GK017-D28C1",3.658,800
"CB1-GK017-D28C1",3.0145,1600
"CB1-GK017-D28C1",2.026,3200
"CB1-GK017-D28C1",1.212,6400
"CB1-GK017-D28C1",0.6725,12800
"CB1-GK017-D28C1",0.3645,25600
"CB1-GK017-D28C1",0.2035,51200
"CB1-GK017-D28C1",0.1295,102400
"CB1-GK017-D28C1",0.085,204800
"CB1-GK018-D182C1",4.1025,100
"CB1-GK018-D182C1",4.0515,200
"CB1-GK018-D182C1",3.768,400
"CB1-GK018-D182C1",3.3355,800
"CB1-GK018-D182C1",2.329,1600
"CB1-GK018-D182C1",1.447,3200
"CB1-GK018-D182C1",0.8285,6400
"CB1-GK018-D182C1",0.4425,12800
"CB1-GK018-D182C1",0.237,25600
"CB1-GK018-D182C1",0.141,51200
"CB1-GK018-D182C1",0.096,102400
"CB1-GK018-D182C1",0.0835,204800
"CB1-GK068-D182C1",3.8905,100
"CB1-GK068-D182C1",3.936,200
"CB1-GK068-D182C1",3.9025,400
"CB1-GK068-D182C1",3.8185,800
"CB1-GK068-D182C1",3.159,1600
"CB1-GK068-D182C1",1.9495,3200
"CB1-GK068-D182C1",1.1265,6400
"CB1-GK068-D182C1",0.6445,12800
"CB1-GK068-D182C1",0.344,25600
"CB1-GK068-D182C1",0.1845,51200
"CB1-GK068-D182C1",0.1125,102400
"CB1-GK068-D182C1",0.0725,204800
"CB1-GK089-D28C1",3.8775,100
"CB1-GK089-D28C1",3.799,200
"CB1-GK089-D28C1",3.521,400
"CB1-GK089-D28C1",2.488,800
"CB1-GK089-D28C1",1.5195,1600
"CB1-GK089-D28C1",0.853,3200
"CB1-GK089-D28C1",0.484,6400
"CB1-GK089-D28C1",0.269,12800
"CB1-GK089-D28C1",0.147,25600
"CB1-GK089-D28C1",0.086,51200
"CB1-GK089-D28C1",0.0645,102400
"CB1-GK089-D28C1",0.058,204800
"CB1-GK091-D182C1",3.924,100
"CB1-GK091-D182C1",3.901,200
"CB1-GK091-D182C1",3.7015,400
"CB1-GK091-D182C1",2.9455,800
"CB1-GK091-D182C1",1.874,1600
"CB1-GK091-D182C1",1.0685,3200
"CB1-GK091-D182C1",0.635,6400
"CB1-GK091-D182C1",0.3295,12800
"CB1-GK091-D182C1",0.1765,25600
"CB1-GK091-D182C1",0.103,51200
"CB1-GK091-D182C1",0.0765,102400
"CB1-GK091-D182C1",0.062,204800
"CB1-GK097-D28C1",3.8675,100
"CB1-GK097-D28C1",3.8905,200
"CB1-GK097-D28C1",3.9095,400
"CB1-GK097-D28C1",3.7505,800
"CB1-GK097-D28C1",2.8795,1600
"CB1-GK097-D28C1",1.8795,3200
"CB1-GK097-D28C1",1.073,6400
"CB1-GK097-D28C1",0.614,12800
"CB1-GK097-D28C1",0.332,25600
"CB1-GK097-D28C1",0.1855,51200
